,Date,d20_ma_chg_zscore,d50_ma_chg_zscore,d200_ma_chg_zscore
11268,2017-10-19,0.9620897781885843,0.508246968515256,0.9416160052945752
11269,2017-10-20,0.93842507382067,0.5301841289265073,0.94892371358729
11270,2017-10-23,0.9028664004792111,0.5401232510051032,0.9504852400929245
11271,2017-10-24,0.7995587382429213,0.5000681761068654,0.9222867888062828
11272,2017-10-25,0.643583684276031,0.43609026814152513,0.8788097653513143
11273,2017-10-26,0.4783761718522369,0.3608754799906363,0.8274313354713435
11274,2017-10-27,0.886636720716982,0.681086763911657,1.002472565908462
11275,2017-10-30,0.6962596826459185,0.5986556825180186,0.9492815449228412
11276,2017-10-31,0.5505870102719402,0.5450640640914699,0.9116143420104652
11277,2017-11-01,0.15374055935022546,0.3030621459946051,0.7661144115709202
11278,2017-11-02,-0.5891865638543801,-0.1864082225987102,0.4803661725895064
11279,2017-11-03,-0.07062834649664321,0.19162323685600002,0.6823374861345084
11280,2017-11-06,-0.27248969741216783,0.07701900932964123,0.6072870016042975
11281,2017-11-07,0.40203560399260085,0.5675570947291395,0.8720545205568574
11282,2017-11-08,0.23382507569917071,0.47649307056978785,0.8127222284209853
11283,2017-11-09,0.25417100185702146,0.5089902139830361,0.8225721775923942
11284,2017-11-10,0.1886181022106441,0.4832419820465303,0.80125844361812
11285,2017-11-13,0.46301815892008424,0.6884520917921719,0.91108663760267
11286,2017-11-14,0.7316050223226848,0.8888891365553285,1.020495523871524
11287,2017-11-15,0.47171956016056255,0.7189489846745383,0.9258373495447342
11288,2017-11-16,0.422496137993205,0.6868838144932551,0.9060162039913974
11289,2017-11-17,0.15132850675754608,0.4924255641435646,0.7969095237141522
11290,2017-11-20,0.11152669147032952,0.4630769730152256,0.7742184209872952
11291,2017-11-21,0.14974465234681625,0.4829043587383864,0.7829192485332161
11292,2017-11-22,-0.07089162004815949,0.321565143962923,0.6923074003659297
11293,2017-11-24,0.07343945863085635,0.42004630323967196,0.7439022917710131
11294,2017-11-27,0.2566598725849214,0.5335985863469106,0.8044407258622231
11295,2017-11-28,0.39062696172873956,0.6149466071353428,0.8510682128369398
11296,2017-11-29,0.3591108559777951,0.5842621567291928,0.8361718966360945
11297,2017-11-30,0.3658449633871627,0.5891700926647658,0.8428638578034401
11298,2017-12-01,0.17477330411274514,0.48121037251652304,0.7865980557339476
11299,2017-12-04,-0.15810365346141184,0.24987216392579573,0.6610569246635776
11300,2017-12-05,-0.2615109137101038,0.1804920681693156,0.6248349060461804
11301,2017-12-06,0.1421901130270297,0.44346954528603094,0.7742191417703144
11302,2017-12-07,0.189117277296997,0.4644327921264139,0.7923008867549134
11303,2017-12-08,0.3201867509450561,0.545988687264985,0.8446195793082372
11304,2017-12-11,0.32272688616270473,0.5402284171067476,0.8489014866621275
11305,2017-12-12,-0.11297237799779064,0.21693634531397704,0.6742073078621409
11306,2017-12-13,-0.21300453765267172,0.10968099712453455,0.6180466431308043
11307,2017-12-14,0.08075844618164542,0.28745003169417954,0.7202587098453652
11308,2017-12-15,0.15871925179603394,0.31866974546966387,0.7426058698884739
11309,2017-12-18,-0.2572928455432475,0.01470744685122822,0.5762945454687883
11310,2017-12-19,-0.6862319969951106,-0.3042374079746993,0.3984662757398572
11311,2017-12-20,-0.7526190060756304,-0.3782632799670626,0.35441931277990724
11312,2017-12-21,-0.5787838829735502,-0.2778301673114687,0.4069182727795502
11313,2017-12-22,-0.5522587103905643,-0.2800239958169896,0.4016275541597497
11314,2017-12-26,-0.6303548889854697,-0.36157871618758025,0.3519901092499494
11315,2017-12-27,-0.3488018528556422,-0.19879705969779413,0.43827897289347734
11316,2017-12-28,-0.12342568623728573,-0.06671991487954172,0.5074129453770659
11317,2017-12-29,-0.13691011451587876,-0.097942405683872,0.4849707922742474
11318,2018-01-02,-0.33279336293007533,-0.24839026800036995,0.3933038820606697
11319,2018-01-03,-0.9491304075729929,-0.6824138413325921,0.14037467018191477
11320,2018-01-04,-1.060311677031942,-0.7780778833200043,0.075078032194905
11321,2018-01-05,-0.8629072663340279,-0.6791385794632411,0.11880286468286282
11322,2018-01-08,-0.5605924767418021,-0.5093494152076233,0.2033491048516835
11323,2018-01-09,-0.7148435240175997,-0.6553219391375116,0.11302051832581676
11324,2018-01-10,-0.8815905111014744,-0.8091649444558056,0.013020058018940217
11325,2018-01-11,-0.834999326319873,-0.808605465032572,-0.000981871279787986
11326,2018-01-12,-0.8106242442765903,-0.820411950727817,-0.021816898767941423
11327,2018-01-16,-0.6920190834839895,-0.7834864232618804,-0.01409383388179024
11328,2018-01-17,-0.3535876031849997,-0.6088536522450042,0.07582728581637213
11329,2018-01-18,-0.5217280157353532,-0.7516491987414758,-0.01370958416004417
11330,2018-01-19,-0.6087240134604639,-0.8304839598802144,-0.06720886487417498
