Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,ten_3mo,ten_two,thirty_five,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,x,y,class
1/11/1999,1275.09,1276.22,1253.34,1263.88,1263.88,818000000,-0.008869513,1,0.014381508,0.135034405,1,0.39,0.16,0.53,0.06,0.05,0.12,0.01,0.01,0.19,-0.05,0.71,-0.32,1.5098814,-1.2705942,1
1/12/1999,1263.88,1264.45,1238.29,1239.51,1239.51,800200000,-0.019660995,1,0.015126542,0.113874996,1,0.34,0.14,0.55,0.03,0.04,0.13,0,0,0.21,-0.07,0.73,-0.32,1.5200047,-1.2374194,1
1/13/1999,1239.51,1247.75,1205.46,1234.4,1234.4,931500000,-0.004139663,2,0.015704391,0.299982695,2,0.29,0.13,0.56,0.03,0.01,0.12,0,-0.01,0.24,-0.1,0.75,-0.33,1.5235186,-1.2274468,1
1/14/1999,1234.4,1236.81,1209.54,1212.19,1212.19,797200000,-0.01832221,1,0.016224767,0.111041943,1,0.19,0.16,0.59,-0.03,0,0.06,0.01,0,0.25,-0.1,0.76,-0.32,1.5769167,-1.0921972,1
1/15/1999,1212.19,1243.26,1212.19,1243.26,1243.26,798100000,0.02499075,2,0.01660232,0.116448107,2,0.22,0.1,0.56,0,0.02,0.1,-0.01,-0.01,0.22,-0.1,0.77,-0.33,1.5589831,-1.0686102,1
1/19/1999,1243.26,1253.27,1234.91,1252,1252,785500000,0.006980831,1,0.016497204,0.097788165,1,0.3,0.09,0.54,0.07,0.01,0.13,0,-0.02,0.22,-0.11,0.75,-0.32,1.514585,-1.2347698,1
1/20/1999,1252,1274.07,1251.54,1256.62,1256.62,905700000,0.003676529,1,0.016910442,0.261345073,2,0.39,0.1,0.53,0.12,0.04,0.13,0,-0.01,0.21,-0.1,0.72,-0.3,1.4963706,-1.2848343,1
1/21/1999,1256.62,1256.94,1232.19,1235.16,1235.16,871800000,-0.017374267,1,0.017281162,0.207570099,1,0.38,0.07,0.54,0.13,0.03,0.15,-0.01,-0.02,0.19,-0.09,0.73,-0.29,1.5130944,-1.2673028,1
1/22/1999,1235.16,1236.41,1217.97,1225.19,1225.19,785900000,-0.008137513,2,0.017500959,0.084181195,1,0.28,0.05,0.55,0.08,0.02,0.13,-0.01,-0.04,0.19,-0.09,0.74,-0.29,1.5230765,-1.2193699,1
1/25/1999,1225.19,1233.98,1219.46,1233.98,1233.98,723900000,0.007123292,3,0.016898167,-0.000417241,1,0.23,0.08,0.57,0.01,0.03,0.11,-0.01,-0.03,0.19,-0.07,0.73,-0.28,1.5590305,-1.0797572,1
1/26/1999,1233.98,1253.25,1233.98,1252.31,1252.31,896400000,0.014636951,4,0.017225767,0.231571593,2,0.23,0.06,0.54,0,0.05,0.12,-0.02,-0.03,0.18,-0.07,0.72,-0.29,1.5692242,-1.0668902,1
1/27/1999,1252.31,1262.61,1242.82,1243.17,1243.17,893800000,-0.007352172,1,0.017732088,0.222557262,1,0.21,0.11,0.57,0,0.04,0.06,0,0,0.17,-0.06,0.72,-0.26,1.5654621,-1.1649623,1
1/28/1999,1243.17,1266.4,1243.17,1265.37,1265.37,848800000,0.017544276,2,0.017505947,0.159319205,1,0.18,0.09,0.54,-0.04,0.07,0.06,-0.01,0,0.16,-0.06,0.7,-0.26,1.582038,-1.0897732,1
1/29/1999,1265.37,1280.37,1255.18,1279.64,1279.64,917000000,0.011151574,1,0.01775851,0.247833245,2,0.18,0.08,0.54,-0.01,0.04,0.07,-0.01,-0.02,0.17,-0.06,0.69,-0.26,1.5489384,-1.1885786,1
2/1/1999,1279.64,1283.75,1271.31,1273,1273,799400000,-0.005216025,1,0.01785978,0.08546461,1,0.22,0.1,0.54,0.03,0.02,0.07,0,0,0.17,-0.07,0.7,-0.26,1.560836,-1.149802,1
2/2/1999,1273,1273.49,1247.56,1261.99,1261.99,845500000,-0.008724316,1,0.017865831,0.148466911,2,0.26,0.09,0.54,0.04,0.02,0.11,0,0,0.17,-0.08,0.72,-0.27,1.5370798,-1.1873872,1
2/3/1999,1261.99,1276.04,1255.27,1272.07,1272.07,876500000,0.007924092,2,0.017832745,0.187716853,3,0.35,0.11,0.51,0.07,0.04,0.13,0.01,0.01,0.17,-0.08,0.69,-0.27,1.4416673,-1.3151997,1
2/4/1999,1272.07,1272.23,1248.36,1248.49,1248.49,854400000,-0.018886815,1,0.018015363,0.153308033,1,0.4,0.12,0.48,0.06,0.08,0.14,0.03,0.02,0.18,-0.11,0.68,-0.27,1.4972723,-1.296545,1
2/5/1999,1248.49,1251.86,1232.28,1239.4,1239.4,872000000,-0.007334194,2,0.018345974,0.169722955,2,0.44,0.14,0.46,0.1,0.06,0.14,0.05,0.03,0.16,-0.1,0.67,-0.27,1.4649025,-1.3358768,1
2/8/1999,1239.4,1246.93,1231.98,1243.77,1243.77,705400000,0.003513511,3,0.018222421,-0.05447936,1,0.4,0.14,0.49,0.05,0.07,0.14,0.04,0.02,0.17,-0.09,0.67,-0.26,1.472613,-1.235477,1
2/9/1999,1243.77,1243.97,1215.63,1216.14,1216.14,736000000,-0.022719424,1,0.018860904,-0.013910208,2,0.38,0.12,0.55,0.04,0.08,0.14,-0.01,0,0.21,-0.08,0.67,-0.25,1.4967185,-1.2659626,1
2/10/1999,1216.14,1226.78,1211.89,1223.55,1223.55,721400000,0.006056148,2,0.018286135,-0.034745074,1,0.42,0.13,0.55,0.06,0.1,0.13,0.01,0.01,0.2,-0.09,0.68,-0.24,1.4555146,-1.2884948,1
2/11/1999,1223.55,1254.05,1223.19,1254.04,1254.04,815800000,0.024313419,3,0.017385809,0.08639176,2,0.43,0.13,0.46,0.05,0.11,0.14,0.02,0.01,0.18,-0.08,0.65,-0.29,1.4575462,-1.2371093,1
2/12/1999,1254.04,1254.04,1225.53,1230.13,1230.13,691500000,-0.01943697,1,0.017774138,-0.080686235,1,0.52,0.15,0.46,0.05,0.15,0.17,0.03,0.02,0.22,-0.12,0.7,-0.34,1.3514893,-1.5710402,1
2/16/1999,1230.13,1252.17,1230.13,1241.87,1241.87,653760000,0.009453485,2,0.017242546,-0.129867868,1,0.47,0.1,0.39,0.08,0.09,0.2,0.02,0.01,0.18,-0.11,0.66,-0.34,1.3621348,-1.4618893,1
2/17/1999,1241.87,1249.31,1220.92,1224.03,1224.03,735100000,-0.014574806,1,0.017903564,-0.023396329,2,0.46,0.09,0.41,0.08,0.09,0.2,0.02,0,0.18,-0.11,0.67,-0.33,1.371015,-1.5214847,1
2/18/1999,1224.03,1239.13,1220.7,1237.28,1237.28,742400000,0.010708975,2,0.01754615,-0.015254883,3,0.51,0.11,0.41,0.08,0.11,0.21,0.02,0.01,0.2,-0.12,0.66,-0.33,1.3075926,-1.5208629,1
2/19/1999,1237.28,1247.91,1232.03,1239.22,1239.22,700000000,0.001565501,1,0.017160795,-0.071060345,1,0.51,0.12,0.39,0.09,0.06,0.24,0.02,0.02,0.2,-0.12,0.64,-0.33,1.3229835,-1.6111455,1
2/22/1999,1239.22,1272.22,1239.22,1272.14,1272.14,718500000,0.025877655,2,0.017288978,-0.045335809,2,0.38,0.12,0.41,-0.03,0.11,0.18,0.03,0.01,0.19,-0.11,0.64,-0.31,1.4692127,-1.23206,1
2/23/1999,1272.14,1280.38,1263.36,1271.18,1271.18,781100000,-0.000755204,1,0.017400368,0.037497891,3,0.44,0.1,0.38,-0.01,0.13,0.22,0.04,0,0.16,-0.1,0.64,-0.32,1.3331611,-1.5478033,1
2/24/1999,1271.18,1283.84,1251.94,1253.41,1253.41,782000000,-0.014177324,1,0.018150884,0.03415078,1,0.51,0.13,0.39,0.03,0.15,0.2,0.04,0.03,0.17,-0.11,0.64,-0.31,1.386926,-1.5085047,1
2/25/1999,1253.41,1253.41,1225.01,1245.02,1245.02,740500000,-0.006738848,2,0.018618978,-0.031057412,1,0.7,0.17,0.38,0.08,0.16,0.29,0.06,0.02,0.2,-0.11,0.58,-0.29,1.2613764,-1.6904218,1
2/26/1999,1245.02,1246.73,1226.24,1238.33,1238.33,784600000,-0.005402437,3,0.018608933,0.024486837,2,0.63,0.16,0.36,0.04,0.18,0.25,0.03,0.05,0.18,-0.1,0.56,-0.28,1.2841887,-1.5951636,1
3/1/1999,1238.33,1238.7,1221.88,1236.16,1236.16,699500000,-0.001755436,4,0.018303051,-0.084845526,1,0.69,0.2,0.35,0.08,0.12,0.29,0.08,0.04,0.17,-0.09,0.54,-0.27,1.2846282,-1.5283397,1
3/2/1999,1236.16,1248.31,1221.87,1225.5,1225.5,753600000,-0.00869849,1,0.019033456,-0.014629535,2,0.69,0.17,0.36,0.09,0.18,0.25,0.06,0.03,0.17,-0.09,0.53,-0.25,1.272473,-1.6780628,1
