Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,x,y,class
7/20/1960,55.61,55.61,55.61,55.61,55.61,2370000,-0.001618414,1,0.003452616,-0.258989057,1,-4.181066,-1.322312,1
7/21/1960,55.1,55.1,55.1,55.1,55.1,2510000,-0.009255898,1,0.003793103,-0.213453805,2,-1.6637594,5.2985563,2
7/22/1960,54.72,54.72,54.72,54.72,54.72,2850000,-0.006944444,2,0.003883406,-0.106116048,3,1.1254268,0.14871967,0
7/25/1960,54.18,54.18,54.18,54.18,54.18,2840000,-0.009966777,1,0.004337394,-0.107619796,1,-3.3013673,-0.9089552,1
7/26/1960,54.51,54.51,54.51,54.51,54.51,2720000,0.006053935,2,0.00429279,-0.144743738,1,-2.4403923,-5.5384774,3
7/27/1960,54.17,54.17,54.17,54.17,54.17,2560000,-0.006276537,1,0.004273583,-0.193489105,1,-3.8781424,-1.2007637,1
7/28/1960,54.57,54.57,54.57,54.57,54.57,3020000,0.007330035,2,0.004608759,-0.049118388,2,5.412246,1.551569,0
7/29/1960,55.51,55.51,55.51,55.51,55.51,2730000,0.016933886,3,0.005359395,-0.13979624,1,5.2805133,-1.5410415,0
8/1/1960,55.53,55.53,55.53,55.53,55.53,2440000,0.000360166,1,0.005249415,-0.230243441,1,-4.127275,-1.3071645,1
8/2/1960,55.04,55.04,55.04,55.04,55.04,2090000,-0.008902616,1,0.005704942,-0.339025933,1,-4.398813,-0.91568565,1
8/3/1960,54.72,54.72,54.72,54.72,54.72,2470000,-0.005847953,2,0.005957602,-0.218024483,2,5.624143,1.3549508,0
8/4/1960,54.89,54.89,54.89,54.89,54.89,2840000,0.003097103,3,0.005820732,-0.100744103,3,2.1902993,1.9914211,0
8/5/1960,55.44,55.44,55.44,55.44,55.44,3000000,0.009920635,4,0.006132756,-0.050582837,4,1.8607923,2.2708209,0
8/8/1960,55.52,55.52,55.52,55.52,55.52,2960000,0.001440922,1,0.005736671,-0.061955316,1,-2.8546066,-1.1638299,1
8/9/1960,55.84,55.84,55.84,55.84,55.84,2700000,0.005730659,2,0.005435172,-0.13957935,1,-2.409882,-5.5076127,3
8/10/1960,56.07,56.07,56.07,56.07,56.07,2810000,0.004102015,1,0.005484216,-0.101087652,2,-1.374176,5.4562726,2
8/11/1960,56.28,56.28,56.28,56.28,56.28,3070000,0.003731343,1,0.005632552,-0.012597159,3,2.3495872,-3.6540608,0
8/12/1960,56.66,56.66,56.66,56.66,56.66,3160000,0.006706671,2,0.005868337,0.0278094,4,2.0322454,0.007378069,0
8/15/1960,56.61,56.61,56.61,56.61,56.61,2450000,-0.000883236,1,0.00560855,-0.197685842,1,-3.9347146,-1.3104439,1
8/16/1960,56.72,56.72,56.72,56.72,56.72,2710000,0.001939351,2,0.00569464,-0.110308601,2,5.6121016,1.473128,0
8/17/1960,56.84,56.84,56.84,56.84,56.84,3090000,0.002111189,3,0.005709008,0.01134628,3,2.1737168,1.9409763,0
8/18/1960,56.81,56.81,56.81,56.81,56.81,2890000,-0.000528076,1,0.005289562,-0.052303656,1,-2.7580833,-1.2051656,1
8/19/1960,57.01,57.01,57.01,57.01,57.01,2570000,0.003508156,2,0.005113138,-0.153212521,1,-2.4467626,-5.6576104,3
8/22/1960,57.19,57.19,57.19,57.19,57.19,2760000,0.003147403,1,0.004782305,-0.085789997,2,-1.3344233,5.4694943,2
8/23/1960,57.75,57.75,57.75,57.75,57.75,3560000,0.00969697,2,0.004935065,0.175822966,3,1.3277559,0.25853524,0
8/24/1960,58.07,58.07,58.07,58.07,58.07,3500000,0.005510591,1,0.004890649,0.157598809,1,-1.6200669,-0.08920294,1
8/25/1960,57.79,57.79,57.79,57.79,57.79,2680000,-0.004845129,1,0.004810521,-0.108251996,1,-3.2813523,-1.177725,1
8/26/1960,57.6,57.6,57.6,57.6,57.6,2780000,-0.003298611,2,0.004175347,-0.070078608,2,5.579159,1.5177147,0
8/29/1960,57.44,57.44,57.44,57.44,57.44,2780000,-0.002785515,3,0.004308844,-0.067166266,3,2.1927962,1.9818301,0
8/30/1960,56.84,56.84,56.84,56.84,56.84,2890000,-0.010555947,1,0.004451091,-0.028462573,4,2.1516588,-1.578517,0
8/31/1960,56.96,56.96,56.96,56.96,56.96,3130000,0.002106742,2,0.004266152,0.055649241,5,2.08559,0.01443339,0
9/1/1960,57.09,57.09,57.09,57.09,57.09,3460000,0.002277106,3,0.004221405,0.169182248,6,2.0463328,0.94239163,0
9/2/1960,57,57,57,57,57,2680000,-0.001578947,1,0.003824561,-0.088538714,1,-2.9328196,-1.3321381,1
9/6/1960,56.49,56.49,56.49,56.49,56.49,2580000,-0.009028147,1,0.004239688,-0.120754288,1,-3.314284,-0.9557333,1
9/7/1960,55.79,55.79,55.79,55.79,55.79,2850000,-0.012547051,1,0.004633447,-0.026916292,2,-1.3496281,4.714548,2
9/8/1960,55.74,55.74,55.74,55.74,55.74,2670000,-0.000897022,2,0.004476139,-0.084414471,1,-2.8176851,-5.4049544,3
9/9/1960,56.11,56.11,56.11,56.11,56.11,2750000,0.00659419,3,0.0045892,-0.052214372,2,3.4613698,3.5655792,0
9/12/1960,55.72,55.72,55.72,55.72,55.72,2160000,-0.006999282,1,0.004630294,-0.249609171,1,-4.1713505,-1.081967,1
9/13/1960,55.83,55.83,55.83,55.83,55.83,2180000,0.001970267,2,0.004674906,-0.234953501,2,5.644096,1.3584765,0
9/14/1960,55.44,55.44,55.44,55.44,55.44,2530000,-0.007034632,1,0.004960317,-0.10458326,3,2.1810865,-3.6204212,0
9/15/1960,55.22,55.22,55.22,55.22,55.22,2870000,-0.003984064,2,0.005070627,0.021715913,4,2.0019915,-0.03279297,0
9/16/1960,55.11,55.11,55.11,55.11,55.11,2340000,-0.001996008,3,0.00515333,-0.160688666,1,5.4002066,-1.7554789,0
