,Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1
7383,1957-07-15,49.13,49.13,49.13,49.13,49.13,2480000.0,0.0010177081213108947
7384,1957-07-16,48.88,48.88,48.88,48.88,48.88,2510000.0,-0.00511456628477905
7385,1957-07-17,48.58,48.58,48.58,48.58,48.58,2060000.0,-0.0061753808151503555
7386,1957-07-18,48.53,48.53,48.53,48.53,48.53,2130000.0,-0.0010302905419327666
7387,1957-07-19,48.58,48.58,48.58,48.58,48.58,1930000.0,0.0010292301358583195
7388,1957-07-22,48.47,48.47,48.47,48.47,48.47,1950000.0,-0.002269445017536609
7389,1957-07-23,48.56,48.56,48.56,48.56,48.56,1840000.0,0.00185337726523895
7390,1957-07-24,48.61,48.61,48.61,48.61,48.61,1730000.0,0.00102859493931284
7391,1957-07-25,48.61,48.61,48.61,48.61,48.61,1800000.0,0.0
7392,1957-07-26,48.45,48.45,48.45,48.45,48.45,1710000.0,-0.003302373581011281
7393,1957-07-29,47.92,47.92,47.92,47.92,47.92,1990000.0,-0.011060100166944932
7394,1957-07-30,47.92,47.92,47.92,47.92,47.92,1780000.0,0.0
7395,1957-07-31,47.91,47.91,47.91,47.91,47.91,1830000.0,-0.0002087246921311859
7396,1957-08-01,47.79,47.79,47.79,47.79,47.79,1660000.0,-0.002510985561832966
7397,1957-08-02,47.68,47.68,47.68,47.68,47.68,1610000.0,-0.00230704697986576
7398,1957-08-05,47.26,47.26,47.26,47.26,47.26,1790000.0,-0.008887008040626358
7399,1957-08-06,46.67,46.67,46.67,46.67,46.67,1910000.0,-0.01264195414613234
7400,1957-08-07,47.03,47.03,47.03,47.03,47.03,2460000.0,0.007654688496704219
7401,1957-08-08,46.9,46.9,46.9,46.9,46.9,1690000.0,-0.0027718550106610356
7402,1957-08-09,46.92,46.92,46.92,46.92,46.92,1570000.0,0.00042625745950560797
7403,1957-08-12,46.33,46.33,46.33,46.33,46.33,1650000.0,-0.012734729117202751
7404,1957-08-13,46.3,46.3,46.3,46.3,46.3,1580000.0,-0.0006479481641468929
7405,1957-08-14,45.73,45.73,45.73,45.73,45.73,2040000.0,-0.01246446534003937
7406,1957-08-15,45.75,45.75,45.75,45.75,45.75,2040000.0,0.00043715846994542355
7407,1957-08-16,45.83,45.83,45.83,45.83,45.83,1470000.0,0.0017455814968360963
7408,1957-08-19,44.91,44.91,44.91,44.91,44.91,2040000.0,-0.02048541527499447
7409,1957-08-20,45.29,45.29,45.29,45.29,45.29,2700000.0,0.008390373150805973
7410,1957-08-21,45.49,45.49,45.49,45.49,45.49,1720000.0,0.004396570674873661
7411,1957-08-22,45.16,45.16,45.16,45.16,45.16,1500000.0,-0.007307351638618367
7412,1957-08-23,44.51,44.51,44.51,44.51,44.51,1960000.0,-0.014603459896652406
7413,1957-08-26,43.89,43.89,43.89,43.89,43.89,2680000.0,-0.014126224652540384
7414,1957-08-27,44.61,44.61,44.61,44.61,44.61,2250000.0,0.016139878950907842
7415,1957-08-28,44.64,44.64,44.64,44.64,44.64,1840000.0,0.0006720430107527136
7416,1957-08-29,44.46,44.46,44.46,44.46,44.46,1630000.0,-0.00404858299595141
7417,1957-08-30,45.22,45.22,45.22,45.22,45.22,1600000.0,0.016806722689075588
7418,1957-09-03,45.44,45.44,45.44,45.44,45.44,1490000.0,0.004841549295774623
7419,1957-09-04,45.05,45.05,45.05,45.05,45.05,1260000.0,-0.00865704772475029
7420,1957-09-05,44.82,44.82,44.82,44.82,44.82,1420000.0,-0.005131637661758074
